# d = 1
# g, Ecorr from diagonalization using SRG, six eigenvalues of H
0.35	-0.0395801	1.61042	3.63354	5.65002	5.65002	7.67348	9.68253
0.37	-0.0444579	1.58554	3.61189	5.63002	5.63002	7.65638	9.66614
0.39	-0.0496429	1.56036	3.59021	5.61002	5.61002	7.63947	9.64992
0.41	-0.0551383	1.53486	3.56848	5.59003	5.59003	7.62273	9.63387
0.43	-0.0609473	1.50905	3.54673	5.57003	5.57003	7.60618	9.61798
0.45	-0.0670731	1.48293	3.52495	5.55004	5.55004	7.58981	9.60225
0.47	-0.0735186	1.45648	3.50315	5.53004	5.53004	7.57362	9.58667
0.49	-0.0802868	1.42971	3.48134	5.51005	5.51005	7.55761	9.57125
0.51	-0.0873803	1.40262	3.45952	5.49005	5.49005	7.54179	9.55597
0.53	-0.0948017	1.3752	3.43769	5.47006	5.47006	7.52615	9.54085
0.55	-0.102553	1.34745	3.41587	5.45006	5.45006	7.51069	9.52586
0.57	-0.110638	1.31936	3.39405	5.43007	5.43007	7.49542	9.51102
0.59	-0.119057	1.29094	3.37225	5.41008	5.41008	7.48033	9.49632
0.61	-0.127813	1.26219	3.35046	5.39009	5.39009	7.46542	9.48176
0.63	-0.136907	1.23309	3.32869	5.3701	5.3701	7.4507	9.46733
0.65	-0.146341	1.20366	3.30695	5.3501	5.3501	7.43615	9.45303
0.67	-0.156117	1.17388	3.28524	5.33011	5.33011	7.42179	9.43887
0.69	-0.166236	1.14376	3.26356	5.31012	5.31012	7.4076	9.42483
0.71	-0.176698	1.1133	3.24192	5.29014	5.29014	7.3936	9.41091
0.73	-0.187505	1.0825	3.22032	5.27015	5.27015	7.37977	9.39712
0.75	-0.198657	1.05134	3.19877	5.25016	5.25016	7.36612	9.38345
0.77	-0.210154	1.01985	3.17727	5.23017	5.23017	7.35264	9.3699
0.79	-0.221998	0.988002	3.15583	5.21018	5.21018	7.33934	9.35646
0.81	-0.234187	0.955813	3.13444	5.1902	5.1902	7.32621	9.34314
0.83	-0.246723	0.923277	3.11311	5.17021	5.17021	7.31326	9.32993
0.85	-0.259604	0.890396	3.09184	5.15023	5.15023	7.30047	9.31683
0.87	-0.27283	0.85717	3.07064	5.13024	5.13024	7.28785	9.30385
0.89	-0.286401	0.823599	3.04951	5.11026	5.11026	7.2754	9.29097
0.91	-0.300315	0.789685	3.02845	5.09028	5.09028	7.26312	9.27819
0.93	-0.314572	0.755428	3.00746	5.07029	5.07029	7.251	9.26552
0.95	-0.329171	0.720829	2.98655	5.05031	5.05031	7.23905	9.25295
0.97	-0.344109	0.685891	2.96571	5.03033	5.03033	7.22725	9.24048
0.99	-0.359386	0.650614	2.94495	5.01035	5.01035	7.21562	9.22811
