#   ds =     0.0001
#   s             E             dE       ||Gammaod||    ||eta2B||    

0.0098000     1.4995670     -0.8718381    0.8749591     4.1157742     
0.0099000     1.4995665     -0.8510297    0.8628497     4.0870979     
0.0100000     1.4995704     -0.8281017    0.8499998     4.0512744     
0.0101000     1.4995791     -0.8031410    0.8364584     4.0080875     
0.0102000     1.4995929     -0.7762695    0.8222894     3.9573794     
0.0103000     1.4996123     -0.7476439    0.8075724     3.8990530     
0.0104000     1.4996375     -0.7174557    0.7924050     3.8330757     
0.0105000     1.4996689     -0.6859296    0.7769035     3.7594824     
0.0106000     1.4997068     -0.6533224    0.7612046     3.6783809     
0.0107000     1.4997512     -0.6199211    0.7454669     3.5899564     
0.0108000     1.4998023     -0.5860401    0.7298716     3.4944795     
0.0109000     1.4998603     -0.5520184    0.7146231     3.3923140     
0.0110000     1.4999250     -0.5182164    0.6999489     3.2839288     
0.0111000     1.4999964     -0.4850117    0.6860985     3.1699113     
0.0112000     1.5000744     -0.4527955    0.6733405     3.0509861     
0.0113000     1.5001587     -0.4219675    0.6619584     2.9280377     
0.0114000     1.5002491     -0.3929316    0.6522437     2.8021397     
0.0115000     1.5003450     -0.3660909    0.6444872     2.6745910     
0.0116000     1.5004461     -0.3418422    0.6389675     2.5469598     
0.0117000     1.5005517     -0.3205713    0.6359387     2.4211343     
0.0118000     1.5006614     -0.3026478    0.6356166     2.2993764     
0.0119000     1.5007742     -0.2884194    0.6381671     2.1843686     
0.0120000     1.5008896     -0.2782075    0.6436956     2.0792355     
0.0121000     1.5010067     -0.2723019    0.6522416     1.9875071     
0.0122000     1.5011245     -0.2709565    0.6637776     1.9129816     
0.0123000     1.5012421     -0.2743849    0.6782125     1.8594466     
0.0124000     1.5013587     -0.2827566    0.6953989     1.8302542     
0.0125000     1.5014732     -0.2961935    0.7151436     1.8278196     
0.0126000     1.5015845     -0.3147669    0.7372188     1.8531986     
0.0127000     1.5016917     -0.3384953    0.7613731     1.9059125     
0.0128000     1.5017937     -0.3673425    0.7873415     1.9840958     
0.0129000     1.5018895     -0.4012163    0.8148535     2.0848914     
0.0130000     1.5019781     -0.4399681    0.8436398     2.2049240     
0.0131000     1.5020587     -0.4833934    0.8734371     2.3407068     
0.0132000     1.5021302     -0.5312321    0.9039908     2.4889130     
0.0133000     1.5021918     -0.5831705    0.9350574     2.6465157     
0.0134000     1.5022427     -0.6388435    0.9664056     2.8108344     
0.0135000     1.5022823     -0.6978375    0.9978165     2.9795253     
0.0136000     1.5023100     -0.7596944    1.0290840     3.1505471     
0.0137000     1.5023251     -0.8239156    1.0600143     3.3221178     
0.0138000     1.5023273     -0.8899668    1.0904260     3.4926734     
0.0139000     1.5023162     -0.9572841    1.1201491     3.6608316     
0.0140000     1.5022918     -1.0252793    1.1490250     3.8253614     
0.0141000     1.5022538     -1.0933469    1.1769062     3.9851601     
0.0142000     1.5022024     -1.1608706    1.2036558     4.1392337     
0.0143000     1.5021377     -1.2272300    1.2291470     4.2866834     
0.0144000     1.5020600     -1.2918086    1.2532635     4.4266949     
0.0145000     1.5019697     -1.3540006    1.2758987     4.5585298     
0.0146000     1.5018674     -1.4132181    1.2969559     4.6815207     
0.0147000     1.5017537     -1.4688985    1.3163482     4.7950663     
0.0148000     1.5016293     -1.5205114    1.3339983     4.8986291     
0.0149000     1.5014952     -1.5675650    1.3498386     4.9917333     
0.0150000     1.5013522     -1.6096127    1.3638113     5.0739636     
0.0151000     1.5012014     -1.6462579    1.3758679     5.1449644     
0.0152000     1.5010439     -1.6771600    1.3859700     5.2044399     
0.0153000     1.5008809     -1.7020379    1.3940886     5.2521537     
0.0154000     1.5007136     -1.7206740    1.4002043     5.2879290     
0.0155000     1.5005433     -1.7329165    1.4043076     5.3116489     
0.0156000     1.5003712     -1.7386818    1.4063987     5.3232565     
0.0157000     1.5001986     -1.7379547    1.4064871     5.3227553     
0.0158000     1.5000268     -1.7307889    1.4045924     5.3102095     
0.0159000     1.4998571     -1.7173058    1.4007433     5.2857440     
0.0160000     1.4996907     -1.6976929    1.3949785     5.2495447     
0.0161000     1.4995289     -1.6722008    1.3873456     5.2018588     
0.0162000     1.4993727     -1.6411398    1.3779020     5.1429950     
0.0163000     1.4992232     -1.6048755    1.3667142     5.0733238     
0.0164000     1.4990814     -1.5638241    1.3538575     4.9932781     
0.0165000     1.4989482     -1.5184462    1.3394166     4.9033537     
0.0166000     1.4988244     -1.4692411    1.3234848     4.8041104     
0.0167000     1.4987108     -1.4167398    1.3061638     4.6961733     
0.0168000     1.4986078     -1.3614987    1.2875641     4.5802349     
0.0169000     1.4985161     -1.3040918    1.2678041     4.4570573     
0.0170000     1.4984360     -1.2451039    1.2470102     4.3274758     
0.0171000     1.4983677     -1.1851230    1.2253164     4.1924031     
0.0172000     1.4983113     -1.1247336    1.2028639     4.0528342     
0.0173000     1.4982670     -1.0645094    1.1798009     3.9098532     
0.0174000     1.4982345     -1.0050067    1.1562818     3.7646403     
0.0175000     1.4982137     -0.9467584    1.1324668     3.6184801     
0.0176000     1.4982044     -0.8902678    1.1085211     3.4727698     
0.0177000     1.4982060     -0.8360038    1.0846139     3.3290267     
0.0178000     1.4982181     -0.7843960    1.0609175     3.1888932     
0.0179000     1.4982401     -0.7358305    1.0376060     3.0541356     
0.0180000     1.4982714     -0.6906468    1.0148533     2.9266341     
0.0181000     1.4983113     -0.6491353    0.9928318     2.8083568     
0.0182000     1.4983590     -0.6115351    0.9717097     2.7013130     
0.0183000     1.4984138     -0.5780328    0.9516488     2.6074789     
0.0184000     1.4984747     -0.5487624    0.9328015     2.5286943     
0.0185000     1.4985410     -0.5238053    0.9153079     2.4665342     
0.0186000     1.4986118     -0.5031914    0.8992927     2.4221695     
0.0187000     1.4986861     -0.4869005    0.8848622     2.3962400     
0.0188000     1.4987633     -0.4748649    0.8721010     2.3887705     
0.0189000     1.4988423     -0.4669716    0.8610699     2.3991496     
0.0190000     1.4989225     -0.4630664    0.8518039     2.4261828     
0.0191000     1.4990030     -0.4629569    0.8443112     2.4682061     
0.0192000     1.4990831     -0.4664171    0.8385728     2.5232342     
